SecondsRemaining,CarSteer,CarThrottle,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,CarDodgeActive,CarJumpActive,SpeedFlip
103.0,66.9090909090909,224.2608695652174,-0.004512747230769231,0.00010685848153846154,0.9433492784615385,0.026795430000000002,-148595.76923076922,-23271.76923076923,16.23076923076923,-2.1538461538461537,2.0,-20397.76923076923,116.43706269121692,0,0,0
102.0,151.41666666666666,234.25,-0.0038927952500000004,0.0027396574916666665,0.8139682266666667,0.5695762433333333,-56120.25,150828.25,7.0,4.166666666666667,-3.5,1235.9166666666667,98.67264140452494,0,0,0
101.0,248.0,229.4,-0.0039031352857142854,-0.00016685333100000002,0.8157146464285715,-0.040604390357142854,-118595.35714285714,4752.857142857143,17.142857142857142,-1.0714285714285714,1.6428571428571428,25809.64285714286,93.27206585430841,0,0,0
100.0,154.07692307692307,215.7,0.0005479571792857143,0.004617175157142857,-0.12073831535714286,0.9654777442857142,97793.0,-28476.071428571428,16.071428571428573,-2.0,-0.5,16185.0,68.7309143538912,0,0,0
99.0,112.88235294117646,234.33333333333334,9.482392463846154e-05,0.0047737723000000004,-0.02174754300769231,0.9981510046153846,147254.6923076923,-6500.615384615385,4.3076923076923075,0.15384615384615385,3.0,-5286.461538461538,88.95529467583353,0,0,0
98.0,95.0,130.53846153846155,0.0011063186714285714,0.004703106578571428,-0.22791908214285714,0.9722402185714286,125316.28571428571,-58134.642857142855,14.285714285714286,-1.2142857142857142,0.6428571428571429,-4698.428571428572,83.20579183120994,0,0,0
97.0,180.38095238095238,30.666666666666668,-0.00029111151538461545,0.0009081932384615384,0.06492479692307693,0.18571659923076922,10742.615384615385,17853.76923076923,15.461538461538462,0.5384615384615384,0.15384615384615385,-16581.69230769231,26.245583858983405,0,0,0
96.0,118.0,182.66666666666666,-0.004772147041666667,-0.0007026722466666667,0.9863802691666667,-0.1532577655,96351.08333333333,31867.583333333332,13.916666666666666,-3.25,0.16666666666666666,-2319.4166666666665,61.580629563316016,0,0,0
95.0,138.66666666666666,181.68,0.1359609619785714,0.06577090276428571,0.911123,-0.32988497000000006,33213.857142857145,8960.357142857143,42972.0,-4752.0,4320.0,9498.0,41.25750729108445,0,1,0
94.0,180.4814814814815,117.6923076923077,0.4096855246153846,-0.10577265020000001,0.09986768776923077,-0.06446996769230767,-1656.923076923077,-22113.76923076923,38146.230769230766,-22069.30769230769,30988.0,-6416.923076923077,26.803761351009108,0,0,0
93.0,122.33333333333333,0.0,0.2106726850142857,-0.28381439428571426,-0.5149614928571429,0.7150334235714286,-562.0,-17892.0,-23502.928571428572,-7020.5,21729.35714285714,-7483.857142857143,19.52517739001223,0,0,0
92.0,191.62962962962962,204.5625,0.03222299339090909,-0.061094096581818184,-0.5288370027272727,0.8292439581818182,5299.090909090909,-17671.363636363636,-61858.181818181816,-426.1818181818182,2099.181818181818,9351.727272727272,41.937665170832794,0,0,0
91.0,224.05555555555554,219.2,-0.10042388719296154,-0.01809236043846154,0.3207913868923077,0.8776990569230769,57496.07692307692,93155.84615384616,8848.384615384615,-10301.538461538461,-13207.461538461539,16975.46153846154,79.21359447315383,1,1,0
