,PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
682,RLDataCoach,270.0,-3386.3,407.47,75.44,0.20298268,-0.19967027,0.674657,0.68100494,-5353.0,229383.0,-15960.0,-28558.0,67.0,112.0,137.99991769301894
684,RLDataCoach,270.0,-3390.31,579.43,61.57,0.1376892,-0.13449548,0.6907712,0.6969847,-5326.0,229019.0,-20532.0,-22952.0,67.0,94.0,137.99951955698972
685,RLDataCoach,270.0,-3394.71,770.14,42.1,0.07904759,-0.07590239,0.699813,0.70586973,-5296.0,228501.0,-25671.0,-18003.0,63.0,74.0,137.99968024919477
686,RLDataCoach,270.0,-3398.17,960.42,20.32,0.017222973,-0.016170945,0.7088914,0.7049219,-2662.0,228266.0,-20844.0,-21980.0,-584.0,2575.0,137.53869681278792
687,RLDataCoach,270.0,-3400.01,1131.6,15.85,-0.0032072065,0.0033204972,0.71224916,0.70191157,-2727.0,228259.0,1256.0,-70.0,-41.0,548.0,136.96724664152373
688,RLDataCoach,270.0,-3402.7,1321.8,16.72,-0.0033636556,0.0033366818,0.713013,0.70113474,-3543.0,228241.0,631.0,-14.0,-10.0,126.0,136.96162175135046
691,RLDataCoach,270.0,-3405.55,1494.03,16.95,-0.0034014191,0.0033420764,0.71344763,0.70069236,-4148.0,229962.0,142.0,-7.0,6.0,798.0,137.99967066743312
693,RLDataCoach,270.0,-3413.87,1686.14,16.99,-0.003482341,0.0032827337,0.74132544,0.6711287,-16515.0,229406.0,32.0,-3.0,2.0,14542.0,137.99981619770367
1029,RLDataCoach,253.0,3290.3,3061.65,17.01,0.0034176037,0.0033690503,-0.6971102,0.716948,14704.0,-200028.0,26.0,0.0,0.0,-4548.0,120.34063016022475
1031,RLDataCoach,253.0,3297.32,2894.86,17.01,0.0034283933,0.0033582607,-0.70433927,0.7098473,4757.0,-200208.0,26.0,0.0,10.0,-1302.0,120.15870453712456
1033,RLDataCoach,253.0,3299.41,2744.44,40.48,-0.0043455088,-0.0042753764,0.7079964,-0.70618963,2194.0,-200711.0,33352.0,2076.0,6.0,-1366.0,122.08499916844819
1035,RLDataCoach,253.0,3301.39,2560.14,69.17,-0.03130883,-0.031125406,0.71131516,-0.70148534,2183.0,-201331.0,28581.0,13494.0,-86.0,-1141.0,122.01676860153279
1037,RLDataCoach,253.0,3302.55,2373.98,88.81,-0.19123277,-0.18855155,0.68817306,-0.674015,1243.0,-229056.0,20534.0,54990.0,-1015.0,-261.0,137.9867489390195
1038,RLDataCoach,253.0,3303.55,2182.91,103.27,-0.38664386,-0.38047215,0.60117424,-0.58680236,1233.0,-229425.0,14714.0,54990.0,-986.0,-297.0,137.93979474973855
1041,RLDataCoach,253.0,3304.55,1991.65,104.37,0.54758644,0.53765017,-0.45950627,0.4471413,1224.0,-229503.0,-1481.0,54986.0,-1195.0,-239.0,137.70662539093752
1042,RLDataCoach,253.0,3305.45,1819.57,103.2,0.6506685,0.6378427,-0.29596236,0.28669408,1224.0,-229438.0,-1569.0,54986.0,-1205.0,-243.0,137.66797768965733
1043,RLDataCoach,253.0,3306.65,1590.13,101.64,0.7132935,0.69803274,-0.04652759,0.042400572,1224.0,-229438.0,-1547.0,54986.0,-1205.0,-243.0,137.66788805832678
1044,RLDataCoach,253.0,3307.45,1437.17,100.6,0.7037572,0.6879659,0.12517327,-0.12554008,1224.0,-229438.0,-1547.0,54986.0,-1204.0,-243.0,137.66788805832678
1045,RLDataCoach,253.0,3308.45,1245.97,99.3,0.63485056,0.6196784,0.32847694,-0.32413948,1224.0,-229438.0,-1547.0,54986.0,-1202.0,-243.0,137.66788805832678
1047,RLDataCoach,253.0,3309.45,1054.77,98.0,0.5087003,0.49549502,0.5021469,-0.49351513,1224.0,-229438.0,-1547.0,54986.0,-1202.0,-244.0,137.66788805832678
1094,RLDataCoach,250.0,3380.29,-3605.68,324.24,-0.05295823,-0.4179176,0.90448093,0.06674198,4910.0,-219080.0,-13984.0,-48781.0,15141.0,20397.0,131.7484513463441
1095,RLDataCoach,250.0,3384.13,-3788.2,310.09,0.013516747,-0.21379389,0.9766562,0.015879668,4353.0,-219022.0,-19401.0,-52143.0,11051.0,13560.0,131.95360624795367
1096,RLDataCoach,250.0,3387.5,-3970.7,291.45,0.052731607,0.011277907,0.9983325,-0.020600114,3793.0,-219023.0,-24776.0,-53756.0,5269.0,10366.0,132.2715092506319
1097,RLDataCoach,250.0,3390.13,-4134.95,270.86,0.0645409,0.21712252,0.9728775,-0.04692141,3295.0,-219046.0,-29584.0,-54048.0,232.0,10181.0,132.63558825187152
1100,RLDataCoach,250.0,3393.07,-4354.02,237.81,0.046139166,0.47517824,0.8750407,-0.07987835,2635.0,-219092.0,-35980.0,-53088.0,-5461.0,13295.0,133.22541391206107
1101,RLDataCoach,250.0,3394.85,-4518.36,208.83,0.023842387,0.6151791,0.7816124,-0.100340895,2140.0,-219144.0,-40774.0,-37139.0,-3637.0,9876.0,133.7491267572241
1102,RLDataCoach,250.0,3362.29,-4662.76,190.06,-0.13861714,0.5945277,0.7538245,-0.2430446,-91900.0,-115091.0,976.0,9272.0,-10857.0,53114.0,88.37024560631252
1104,RLDataCoach,250.0,3268.3,-4758.59,190.39,-0.2281765,0.56084245,0.7362742,-0.3021448,-106078.0,-100760.0,-2258.0,5927.0,-5204.0,2293.0,87.7933856806992
1105,RLDataCoach,250.0,3179.67,-4841.45,183.19,-0.25764835,0.5357404,0.7613704,-0.25867876,-107924.0,-96709.0,-13927.0,16520.0,-6459.0,-12372.0,87.34932995140834
1106,RLDataCoach,250.0,3076.95,-4922.81,162.01,-0.26183477,0.49622333,0.8120783,-0.1604176,-115878.0,-80235.0,-31646.0,15282.0,-11919.0,-15709.0,86.6721451967124
1107,RLDataCoach,250.0,2965.24,-4980.52,124.87,-0.2477219,0.45195347,0.85563976,-0.04746089,-125800.0,-47843.0,-47037.0,23111.0,2665.0,-24523.0,85.54382459581754
1219,RLDataCoach,244.0,-3598.19,1430.08,107.21,-0.5325035,0.669304,0.32379425,0.40451145,43040.0,225123.0,-1668.0,-53612.0,12273.0,145.0,137.52385983195788
