PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
RLDataCoach,283.0,-918.86,-1929.33,86.38,0.18450002,0.9320201,0.18087472,0.254131,-125167.0,192946.0,-2207.0,-42685.0,25290.0,-23734.0,137.999749113685
RLDataCoach,283.0,-1024.95,-1769.0,84.31,0.24820203,0.94756293,-0.08058507,0.18446225,-128309.0,190867.0,-2523.0,-42012.0,28710.0,-20870.0,137.99970873751872
RLDataCoach,283.0,-1133.63,-1610.38,82.29,0.2993072,0.898985,-0.31870154,0.02589241,-131315.0,188815.0,-2260.0,-27480.0,40575.0,-24968.0,137.9997926737573
RLDataCoach,283.0,-1255.7,-1437.55,80.19,0.3424171,0.7740435,-0.49580258,-0.19438876,-133489.0,187263.0,-3603.0,-23917.0,42028.0,-26202.0,137.9996424764934
RLDataCoach,283.0,-1367.62,-1281.14,74.72,0.33643427,0.6311336,-0.61429435,-0.33335385,-133811.0,186858.0,-8851.0,-28350.0,43661.0,-17746.0,137.99952532874886
RLDataCoach,283.0,-1479.12,-1125.3,64.94,-0.29006582,-0.457289,0.717277,0.43847725,-133554.0,186716.0,-14141.0,-28366.0,45635.0,-11737.0,137.99935232848014
RLDataCoach,283.0,-1579.21,-985.3,52.32,-0.22019756,-0.28409377,0.78429824,0.50564814,-133275.0,186488.0,-18966.0,-26799.0,47240.0,-8664.0,137.99962033643428
RLDataCoach,283.0,-1689.95,-829.88,34.09,-0.13538562,-0.10748365,0.81696707,0.55016613,-131795.0,186830.0,-23947.0,-19136.0,42616.0,-9048.0,137.93324002661578
RLDataCoach,283.0,-1803.11,-655.73,16.95,-0.006800183,0.01490321,0.80411166,0.5942526,-112460.0,193768.0,-8058.0,7020.0,16523.0,-11232.0,134.51007205291356
RLDataCoach,283.0,-1884.02,-490.69,16.32,-0.0011409995,0.0047932765,0.77932554,0.6265999,-83953.0,201303.0,930.0,111.0,-1306.0,-8573.0,130.86585807795706
RLDataCoach,283.0,-1940.93,-320.32,16.84,-0.0030291781,0.00337984,0.76071113,0.6490747,-56292.0,206594.0,369.0,-51.0,-256.0,-5704.0,128.4756874041155
RLDataCoach,283.0,-1981.12,-129.26,17.01,-0.0034499725,0.003223391,0.7484814,0.663139,-35254.0,209569.0,66.0,-19.0,-43.0,-2805.0,127.50813804569495
RLDataCoach,277.0,3248.74,2292.99,17.02,0.0033690503,0.0034176037,-0.6988203,0.7152812,5032.0,-216047.0,-11.0,0.0,8.0,0.0,129.66335583903418
